geoid,keys,address,city,country,lat,long,name,postalCode,province,websites,address_full
51117,us/va/southhill/808eatlanticst/-791445730,808 E Atlantic St,South Hill,US,36.720203,-78.118383,Wendy's,23970,VA,http://www.wendys.com,"Burger King, East Atlantic Street, South Hill, Mecklenburg County, Virginia, 23970, United States"
27147,us/mn/owatonna/2290nw46thst/-791445730,2290 NW 46th St,Owatonna,US,44.13948,-93.25327,Wendy's,55060,MN,http://www.wendys.com,"Wendy's, Northwest 46th Street, Owatonna, Steele County, Minnesota, 55049, United States"
39017,us/oh/oxford/5142collegecornerpike/-791445730,5142 College Corner Pike,Oxford,US,39.51629,-84.75493,Wendy's,45056,OH,http://www.wendys.com,"Wendy's, College Corner Pike, Oxford, Oxford Township, Butler County, Ohio, 45056, United States"
53053,us/wa/tacoma/15805pacificaves/-791445730,15805 Pacific Ave S,Tacoma,US,47.1129,-122.43295,Wendy's,98444,WA,https://locations.wendys.com/tacoma-wa-11746,"Safeway, 15805, Pacific Avenue South, Spanaway, Pierce County, Washington, 98444, United States"
51015,us/va/staunton/704greenvilleave/-791445730,704 Greenville Ave,Staunton,US,38.110874,-79.073168,Wendy's,24401,VA,http://www.wendys.com,"529, Lee Jackson Highway, Staunton, Augusta County, Virginia, 24401, United States"
48141,us/tx/elpaso/8055northloop/1832448210,8055 North Loop,El Paso,US,31.72904,-106.34801,Whataburger,79915,TX,https://locations.whataburger.com/tx/el-paso/8055-north-loop.html/,"Whataburger, 8055, North Loop Drive, Tigua, El Paso, El Paso County, Texas, 79915, United States"
48439,us/tx/fortworth/2236jacksborohwy/1832448210,2236 Jacksboro Hwy,Fort Worth,US,32.78469,-97.3805,Whataburger,76114,TX,https://locations.whataburger.com/tx/fort-worth/2236-jacksboro-hwy.html/,"Whataburger, 2236, Jacksboro Highway, Fort Worth, Tarrant County, Texas, 76114, United States"
21125,"us/ky/london/405whighway80/-477036959,us/ky/london/405whighway80/-477036959",405 W Highway 80,London,US,37.145096,-84.10915,White Castle,40741-1070,KY,http://www.whitecastle.com,"598, Russell Dyche Memorial Highway, London, Laurel County, Kentucky, 40741, United States"
21111,us/ky/louisville/4108outerloop/-477036959,4108 Outer Loop,Louisville,US,38.138,-85.6854,White Castle,40219,KY,http://www.whitecastle.com,"White Castle, 4108, Outer Loop, Okolona, Louisville, Jefferson County, Kentucky, 40219, United States"
48439,us/tx/azle/440northwestpkwy/1832448210,440 Northwest Pkwy,Azle,US,32.898781,-97.542931,Whataburger,76020,TX,https://locations.whataburger.com/tx/azle/440-northwest-pkwy.html/,"Northwest Parkway, Azle, Tarrant County, Texas, 76020, United States"
01115,us/al/pellcity/170vaughanln/-791445730,170 Vaughan Ln,Pell City,US,33.6094,-86.2805,Wendy's,35125,AL,http://www.wendys.com,"Wendy's, 170, Vaughan Lane, Pell City, St. Clair County, Alabama, 35125, United States"
